age,layer,probability,rank
22.893189318931892,andesite,0.8684730973176199,2
22.893189318931892,andesite,0.8684730973176199,2
22.893189318931892,basal layers,0.5638822152122019,1
22.893189318931892,basal layers,0.5638822152122019,1
22.893189318931892,basal layers,0.5638822152122019,1
22.893189318931892,basal layers,0.5638822152122019,1
22.893435343534353,Haycock,0.03600722616690332,4
22.893435343534353,pseudotachylyte,0.9726454741633785,3
22.893435343534353,andesite,0.8690116345988211,2
22.893435343534353,andesite,0.8690116345988211,2
22.893435343534353,basal layers,0.5642027304196049,1
22.893435343534353,basal layers,0.5642027304196049,1
22.893435343534353,basal layers,0.5642027304196049,1
22.893435343534353,basal layers,0.5642027304196049,1
22.89368136813681,Haycock,0.03495808131561198,4
22.89368136813681,pseudotachylyte,0.9727827710381325,3
22.89368136813681,andesite,0.8695493184314732,2
22.89368136813681,andesite,0.8695493184314732,2
22.89368136813681,basal layers,0.5645186984907483,1
22.89368136813681,basal layers,0.5645186984907483,1
22.89368136813681,basal layers,0.5645186984907483,1
22.89368136813681,basal layers,0.5645186984907483,1
22.893927392739272,Haycock,0.03393506163699717,4
22.893927392739272,pseudotachylyte,0.9729197369722378,3
22.893927392739272,andesite,0.8700861468186789,2
22.893927392739272,andesite,0.8700861468186789,2
22.893927392739272,basal layers,0.5648301115837371,1
22.893927392739272,basal layers,0.5648301115837371,1
22.893927392739272,basal layers,0.5648301115837371,1
22.893927392739272,basal layers,0.5648301115837371,1
22.894173417341733,Haycock,0.03293766657505166,4
22.894173417341733,pseudotachylyte,0.9730563718204541,3
22.894173417341733,andesite,0.8706221177657896,2
22.894173417341733,andesite,0.8706221177657896,2
22.894173417341733,basal layers,0.5651369619668173,1
22.894173417341733,basal layers,0.5651369619668173,1
22.894173417341733,basal layers,0.5651369619668173,1
22.894173417341733,basal layers,0.5651369619668173,1
22.894419441944194,Haycock,0.03196540033650315,4
22.894419441944194,pseudotachylyte,0.9731926754378815,3
22.894419441944194,andesite,0.8711572292804473,2
22.894419441944194,andesite,0.8711572292804473,2
